简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
龙湖精装修 独栋别墅 随时看房,龙湖香醍漫步四区南区 , 独栋别墅 , 5室3厅 ,115人关注 , 共86次带看 , 2个月以前发布,1100,单价39103元/平米,顺义,"116.671487,40.213114"
马坡花园二区 4室2厅 450万,马坡花园二区 , 4室2厅 , 124.97平米 ,0人关注 , 共0次带看 , 7天以前发布,450,单价36009元/平米,顺义,"116.661657,40.18394"
顶层大复式，精装修，满五年，诚心出售,双兴南区 , 4室3厅 , 192平米 ,29人关注 , 共7次带看 , 3个月以前发布,750,单价39063元/平米,顺义,"116.659297,40.14532"
御墅一期 满五年 精装修 带水系,御墅一期 , 独栋别墅 , 5室3厅 ,22人关注 , 共8次带看 , 4个月以前发布,1600,单价35161元/平米,顺义,"116.696717,40.11804"
水木兰亭 精装上叠 诚意出售 满五,水木兰亭 , 3室2厅 , 168.95平米 ,56人关注 , 共45次带看 , 4个月以前发布,950,单价56230元/平米,顺义,"116.565327,40.069623"
双裕小区 1室1厅 235万,双裕小区 , 1室1厅 , 45.94平米 ,163人关注 , 共14次带看 , 30天以前发布,235,单价51154元/平米,顺义,"116.561056,40.112912"
婚房装修正规一居室南向采光好。,焦各庄街2号院 , 1室1厅 , 67平米 ,107人关注 , 共44次带看 , 2个月以前发布,198,单价29553元/平米,顺义,"116.625568,40.137845"
满五年 只有契税 近地铁 南北朝向 两居,莲竹花园 , 2室1厅 , 77.25平米 ,71人关注 , 共15次带看 , 24天以前发布,340,单价44013元/平米,顺义,"116.565033,40.077159"
业主换房 诚心出售 有钥匙看房随时,东亚首航国际 , 1室0厅 , 43平米 ,122人关注 , 共30次带看 , 2个月以前发布,110,单价25582元/平米,顺义,"116.605239,40.134877"
樱花园二区 5室2厅 500万,樱花园二区 , 5室2厅 , 224.9平米 ,4人关注 , 共0次带看 , 19天以前发布,500,单价22233元/平米,顺义,"116.632799,40.031538"
东方太阳城 2室2厅 460万,东方太阳城 , 2室2厅 , 141平米 ,10人关注 , 共3次带看 , 29天以前发布,460,单价32625元/平米,顺义,"116.722221,40.087052"
09年电梯洋房，南北通透两居，温馨舒适。,顺鑫花语 , 2室1厅 , 95.86平米 ,7人关注 , 共1次带看 , 22天以前发布,400,单价41728元/平米,顺义,"116.558192,40.162583"
三山新新家园 3居 中间楼层 南北通透 附带地下室,三山新新家园 , 3室1厅 , 95.25平米 ,9人关注 , 共3次带看 , 23天以前发布,450,单价47245元/平米,顺义,"116.541005,40.103325"
仓上家园 08年电梯房 明厨明卫 拎包入住,仓上家园 , 2室2厅 , 96.21平米 ,54人关注 , 共28次带看 , 2个月以前发布,375,单价38978元/平米,顺义,"116.659362,40.120437"
双裕西区1+2大复式 带70平米花园 正规四居室 南北通透,双裕花园西区 , 4室2厅 , 167平米 ,68人关注 , 共55次带看 , 6个月以前发布,800,单价47905元/平米,顺义,"116.555368,40.113521"
天竺花园 4室2厅 560万,天竺花园 , 4室2厅 , 187.9平米 ,38人关注 , 共12次带看 , 2个月以前发布,560,单价29804元/平米,顺义,"116.571828,40.066974"
金汉绿港二区 4室2厅 710万,金汉绿港二区 , 4室2厅 , 173.95平米 ,62人关注 , 共39次带看 , 6个月以前发布,710,单价40817元/平米,顺义,"116.6708,40.139004"
马坡花园二区  满五年 南北通透,马坡花园二区 , 3室2厅 , 124.97平米 ,36人关注 , 共10次带看 , 5个月以前发布,355,单价28407元/平米,顺义,"116.661657,40.18394"
南竺园 3室1厅 363万,南竺园 , 3室1厅 , 95.53平米 ,9人关注 , 共12次带看 , 20天以前发布,363,单价37999元/平米,顺义,"116.599448,40.048301"
金宝城两居室 业主诚意出售 看房方便,金宝城北区 , 2室1厅 , 93平米 ,9人关注 , 共7次带看 , 29天以前发布,369,单价39678元/平米,顺义,"116.666703,40.182178"
石园东区 1室1厅 275万,石园东区 , 1室1厅 , 64.11平米 ,5人关注 , 共9次带看 , 17天以前发布,275,单价42896元/平米,顺义,"116.673834,40.116557"
观景两层住宅 配套齐全 业主诚心出售,双兴南区 , 4室2厅 , 180.18平米 ,18人关注 , 共2次带看 , 2个月以前发布,650,单价36076元/平米,顺义,"116.659297,40.14532"
蓝星花园 电梯三居室 中间楼层，业主自住房,蓝星花园 , 3室2厅 , 137平米 ,78人关注 , 共8次带看 , 一年前发布,550,单价40146元/平米,顺义,"116.560389,40.094933"
阿凯笛亚庄园 4室3厅 1550万,阿凯笛亚庄园 , 4室3厅 , 357平米 ,29人关注 , 共30次带看 , 7个月以前发布,1550,单价43418元/平米,顺义,"116.532301,40.119598"
双阳南区 毛坯顶层带露台业主诚售,双阳南区 , 5室2厅 , 174.68平米 ,38人关注 , 共2次带看 , 9个月以前发布,345,单价19751元/平米,顺义,"116.840824,40.161336"
江山赋 中间层三居室 精装修 拎包入住,江山赋 , 3室1厅 , 105.22平米 ,57人关注 , 共11次带看 , 1个月以前发布,288,单价27372元/平米,顺义,"116.559953,40.117154"
正规南北通透两居室 中间楼层，2001年建成。,西辛南区 , 2室1厅 , 70.25平米 ,74人关注 , 共73次带看 , 4个月以前发布,308,单价43844元/平米,顺义,"116.649455,40.141789"
胜利小区一室一厅 南北通透 诚意出售 ,胜利小区 , 1室1厅 , 60平米 ,60人关注 , 共25次带看 , 2个月以前发布,245,单价40834元/平米,顺义,"116.659056,40.14159"
滨河小区  两居室户型 中间楼层 诚售,滨河小区 , 2室1厅 , 72.63平米 ,44人关注 , 共39次带看 , 5个月以前发布,269,单价37038元/平米,顺义,"116.688628,40.123965"
莱蒙湖4居室联排别墅临近地铁站,莱蒙湖别墅 , 4室3厅 , 315.78平米 ,125人关注 , 共18次带看 , 5个月以前发布,1500,单价47502元/平米,顺义,"116.548935,40.074141"
裕祥花园二期四居室，精装修满两年，三层南北通透,裕祥花园 , 4室2厅 , 171平米 ,20人关注 , 共17次带看 , 4个月以前发布,685,单价40059元/平米,顺义,"116.554715,40.107876"
香悦四季 四居室 双南双北卧室 三个卫生间,香悦四季 , 4室2厅 , 156.61平米 ,70人关注 , 共18次带看 , 3个月以前发布,660,单价42143元/平米,顺义,"116.665923,40.186753"
南北通透两居室，满两年，低楼层。,石园北区 , 2室1厅 , 70.58平米 ,53人关注 , 共50次带看 , 4个月以前发布,272,单价38538元/平米,顺义,"116.670101,40.118729"
彩俸北区 3室1厅 350万,彩俸北区 , 3室1厅 , 106.9平米 ,4人关注 , 共0次带看 , 27天以前发布,350,单价32741元/平米,顺义,"116.707179,40.138113"
美林香槟小镇 装修特别好别墅 客厅带挑空 全明户型,美林香槟小镇 , 9室4厅 , 371平米 ,23人关注 , 共2次带看 , 一年前发布,2680,单价72238元/平米,顺义,"116.571369,40.054405"
马坡花园一区 6室3厅 680万,马坡花园一区 , 6室3厅 , 285平米 ,16人关注 , 共2次带看 , 1个月以前发布,680,单价23860元/平米,顺义,"116.661432,40.180564"
莫奈花园 联排别墅前后带院 精装 位置好 实话养老改善,莫奈花园 , 4室2厅 , 255平米 ,15人关注 , 共1次带看 , 3个月以前发布,1500,单价58824元/平米,顺义,"116.53916,40.107599"
水木兰亭 下叠送地下室 精装修 满五年 税费少,水木兰亭 , 4室2厅 , 174.72平米 ,16人关注 , 共1次带看 , 1个月以前发布,1200,单价68682元/平米,顺义,"116.565327,40.069623"
万科城市花园 大三居 带花园 无遮挡 满5年,万科城市花园 , 3室2厅 , 119.28平米 ,43人关注 , 共8次带看 , 1个月以前发布,650,单价54494元/平米,顺义,"116.560168,40.110054"
石园北区 3室1厅 395万,石园北区 , 3室1厅 , 110.85平米 ,54人关注 , 共52次带看 , 5个月以前发布,395,单价35634元/平米,顺义,"116.670101,40.118729"
望潮家园 2室1厅 400万,望潮家园 , 2室1厅 , 99.11平米 ,32人关注 , 共5次带看 , 7个月以前发布,400,单价40360元/平米,顺义,"116.693092,40.123469"
中粮祥云别墅区高楼层毛坯大平层三居室,中粮祥云国际生活区 , 4室2厅 , 305.27平米 ,26人关注 , 共40次带看 , 2个月以前发布,1500,单价49137元/平米,顺义,"116.543161,40.097129"
万科城市花园 3室1厅 815万,万科城市花园 , 3室1厅 , 159.59平米 ,16人关注 , 共0次带看 , 29天以前发布,815,单价51069元/平米,顺义,"116.560168,40.110054"
双裕花园西区 3室2厅 710万,双裕花园西区 , 3室2厅 , 153平米 ,6人关注 , 共0次带看 , 22天以前发布,710,单价46406元/平米,顺义,"116.555368,40.113521"
义宾北区 2室2厅 350万,义宾北区 , 2室2厅 , 84.63平米 ,5人关注 , 共0次带看 , 2天以前发布,350,单价41357元/平米,顺义,"116.655265,40.139222"
双裕小区 2室1厅 335万,双裕小区 , 2室1厅 , 72.76平米 ,8人关注 , 共1次带看 , 2天以前发布,335,单价46042元/平米,顺义,"116.561056,40.112912"
樱花园三区 2室1厅 255万,樱花园三区 , 2室1厅 , 81.68平米 ,6人关注 , 共0次带看 , 3天以前发布,255,单价31220元/平米,顺义,"116.632377,40.033796"
焦各庄2号院 不限购 纯朝南 正规一居室,焦各庄街2号院 , 1室1厅 , 63.88平米 ,29人关注 , 共5次带看 , 26天以前发布,188,单价29431元/平米,顺义,"116.625568,40.137845"
北京苏活四区 2室1厅 400万,北京苏活四区 , 2室1厅 , 88.5平米 ,0人关注 , 共0次带看 , 2天以前发布,400,单价45198元/平米,顺义,"116.638264,40.079034"
马坡花园一区 平层三居室 电梯房 有钥匙,马坡花园一区 , 3室2厅 , 181平米 ,36人关注 , 共22次带看 , 2个月以前发布,506,单价27956元/平米,顺义,"116.661432,40.180564"
智地香蜜湾 2室1厅 450万,智地香蜜湾 , 2室1厅 , 92.98平米 ,13人关注 , 共14次带看 , 1个月以前发布,450,单价48398元/平米,顺义,"116.545553,40.103666"
双兴南区 5室2厅 420万,双兴南区 , 5室2厅 , 177.45平米 ,56人关注 , 共12次带看 , 2个月以前发布,420,单价23669元/平米,顺义,"116.659297,40.14532"
马坡花园一区 2室1厅 295万,马坡花园一区 , 2室1厅 , 86.77平米 ,44人关注 , 共21次带看 , 2个月以前发布,295,单价33998元/平米,顺义,"116.661432,40.180564"
西辛北区 2室1厅 360万,西辛北区 , 2室1厅 , 86.86平米 ,33人关注 , 共63次带看 , 3个月以前发布,360,单价41447元/平米,顺义,"116.649091,40.144305"
佳和宜园 1室0厅 198万,佳和宜园 , 1室0厅 , 46.76平米 ,128人关注 , 共36次带看 , 1个月以前发布,198,单价42344元/平米,顺义,"116.655693,40.180093"
马坡花园二区  房本满五年，看房方便  总价低,马坡花园二区 , 5室2厅 , 171.48平米 ,41人关注 , 共6次带看 , 1个月以前发布,450,单价26243元/平米,顺义,"116.661657,40.18394"
万通南北通透四居，中高楼层，双卧室朝阳，诚意出售,万通天竺新新家园 , 4室2厅 , 203.27平米 ,26人关注 , 共6次带看 , 2个月以前发布,1300,单价63955元/平米,顺义,"116.568704,40.064603"
前进花园牡丹苑 2室1厅 423万,前进花园牡丹苑 , 2室1厅 , 96.68平米 ,18人关注 , 共12次带看 , 31天以前发布,423,单价43753元/平米,顺义,"116.643868,40.139456"
双裕花园西区 2室2厅 560万,双裕花园西区 , 2室2厅 , 108.06平米 ,10人关注 , 共5次带看 , 30天以前发布,560,单价51824元/平米,顺义,"116.555368,40.113521"
石园东苑 3室2厅 480万,石园东苑 , 3室2厅 , 119.98平米 ,3人关注 , 共1次带看 , 28天以前发布,480,单价40007元/平米,顺义,"116.673369,40.111803"
幸福西区 3室1厅 393万,幸福西区 , 3室1厅 , 100.37平米 ,59人关注 , 共27次带看 , 6个月以前发布,393,单价39156元/平米,顺义,"116.660839,40.140065"
万科城市花园 玫瑰园 红砖洋房  复式  ,万科城市花园 , 3室2厅 , 124.59平米 ,124人关注 , 共24次带看 , 5个月以前发布,510,单价40935元/平米,顺义,"116.560168,40.110054"
波特兰花园一期 5室3厅 1400万,波特兰花园一期 , 5室3厅 , 489.91平米 ,19人关注 , 共11次带看 , 3个月以前发布,1400,单价28577元/平米,顺义,"116.688778,40.119288"
东兴二区 3室1厅 410万,东兴二区 , 3室1厅 , 98.67平米 ,14人关注 , 共2次带看 , 28天以前发布,410,单价41553元/平米,顺义,"116.673001,40.138289"
博雅世家 3室2厅 850万,博雅世家 , 3室2厅 , 183.54平米 ,12人关注 , 共2次带看 , 27天以前发布,850,单价46312元/平米,顺义,"116.659962,40.129016"
东方太阳城 2室2厅 460万,东方太阳城 , 2室2厅 , 103平米 ,40人关注 , 共15次带看 , 4个月以前发布,460,单价44661元/平米,顺义,"116.722221,40.087052"
水木兰亭 4室2厅 1280万,水木兰亭 , 4室2厅 , 160平米 ,11人关注 , 共0次带看 , 31天以前发布,1280,单价80000元/平米,顺义,"116.565327,40.069623"
馨港二区南北通透 装修好 满五年带电梯 诚心出售,馨港庄园二区 , 2室2厅 , 111.74平米 ,14人关注 , 共1次带看 , 19天以前发布,355,单价31771元/平米,顺义,"116.675236,40.039656"
双兴南区 3室1厅 410万,双兴南区 , 3室1厅 , 95平米 ,0人关注 , 共1次带看 , 16天以前发布,410,单价43158元/平米,顺义,"116.659297,40.14532"
中铁花溪渡 2室2厅 380万,中铁花溪渡 , 2室2厅 , 85.93平米 ,33人关注 , 共3次带看 , 23天以前发布,380,单价44223元/平米,顺义,"116.664815,40.189938"
香悦四季 4室2厅 645万,香悦四季 , 4室2厅 , 156.96平米 ,10人关注 , 共3次带看 , 19天以前发布,645,单价41094元/平米,顺义,"116.665923,40.186753"
港馨家园东区 2室1厅 400万,港馨家园东区 , 2室1厅 , 83.16平米 ,2人关注 , 共2次带看 , 24天以前发布,400,单价48101元/平米,顺义,"116.697838,40.110591"
万科城市花园 3室1厅 680万,万科城市花园 , 3室1厅 , 122.8平米 ,12人关注 , 共5次带看 , 21天以前发布,680,单价55375元/平米,顺义,"116.560168,40.110054"
万科城市花园 3室1厅 706万,万科城市花园 , 3室1厅 , 122.8平米 ,3人关注 , 共5次带看 , 21天以前发布,706,单价57492元/平米,顺义,"116.560168,40.110054"
西辛南区满五年  正规三居2000年以后的商品房诚售,西辛南区 , 3室1厅 , 99.25平米 ,47人关注 , 共23次带看 , 3个月以前发布,385,单价38791元/平米,顺义,"116.649455,40.141789"
南北通透房本已经五年 小区中间位置,双兴东区 , 3室1厅 , 84平米 ,24人关注 , 共1次带看 , 23天以前发布,310,单价36905元/平米,顺义,"116.664599,40.144969"
金汉绿港二区 纯正四居室 满五 接受换房,金汉绿港二区 , 4室2厅 , 156平米 ,17人关注 , 共1次带看 , 2个月以前发布,700,单价44872元/平米,顺义,"116.6708,40.139004"
智地香蜜湾 2室1厅 525万,智地香蜜湾 , 2室1厅 , 94平米 ,12人关注 , 共1次带看 , 25天以前发布,525,单价55852元/平米,顺义,"116.545553,40.103666"
东亚首航国际 1室1厅 150万,东亚首航国际 , 1室1厅 , 58.07平米 ,50人关注 , 共10次带看 , 29天以前发布,150,单价25831元/平米,顺义,"116.605239,40.134877"
双兴南区 3室1厅 310万,双兴南区 , 3室1厅 , 83.81平米 ,8人关注 , 共20次带看 , 1个月以前发布,310,单价36989元/平米,顺义,"116.659297,40.14532"
江山赋 2室2厅 430万,江山赋 , 2室2厅 , 107.95平米 ,6人关注 , 共0次带看 , 26天以前发布,430,单价39834元/平米,顺义,"116.559953,40.117154"
顺鑫花语，精装修，电梯复式，社区配套好，适合居住,顺鑫花语 , 4室2厅 , 157平米 ,35人关注 , 共4次带看 , 5个月以前发布,600,单价38217元/平米,顺义,"116.558192,40.162583"
莱蒙湖精装独栋别墅，美式风格独栋，满两年,莱蒙湖别墅 , 4室2厅 , 454平米 ,30人关注 , 共1次带看 , 一年前发布,2200,单价48459元/平米,顺义,"116.548935,40.074141"
万科红楼四居室 南北通透 满五年查不到原值,万科城市花园 , 4室2厅 , 165.76平米 ,37人关注 , 共5次带看 , 1个月以前发布,826,单价49832元/平米,顺义,"116.560168,40.110054"
石园北区电梯房三居室，拎包入住,石园北区 , 3室1厅 , 92.1平米 ,63人关注 , 共25次带看 , 1个月以前发布,350,单价38003元/平米,顺义,"116.670101,40.118729"
田园牧歌  带花园的阳光房  买一层送一层 复式330平米,阿凯笛亚别院 , 3室2厅 , 166.87平米 ,12人关注 , 共4次带看 , 2个月以前发布,1050,单价62924元/平米,顺义,"116.565375,40.107984"
南北通透，全明格局，顶层三居室，带阁楼,香花畦家园 , 3室2厅 , 127.34平米 ,48人关注 , 共6次带看 , 4个月以前发布,650,单价51045元/平米,顺义,"116.554991,40.116654"
南北通透全明格局，交通便利配套齐全,香花畦家园 , 3室2厅 , 142平米 ,28人关注 , 共30次带看 , 3个月以前发布,730,单价51409元/平米,顺义,"116.554991,40.116654"
香悦四季  平层四居室 明厨明卫,香悦四季 , 4室2厅 , 138.46平米 ,44人关注 , 共4次带看 , 2个月以前发布,600,单价43334元/平米,顺义,"116.665923,40.186753"
金宝城南区 9室3厅 1360万,金宝城南区 , 9室3厅 , 315.62平米 ,14人关注 , 共4次带看 , 2个月以前发布,1360,单价43090元/平米,顺义,"116.66777,40.179868"
好楼层 业主诚心出售 正规3居室 精装修 ,宏城花园 , 3室1厅 , 106.29平米 ,31人关注 , 共24次带看 , 3个月以前发布,452,单价42526元/平米,顺义,"116.643715,40.137169"
馨港大三居  中间楼层采光好 业主诚心出售,馨港庄园三区 , 3室2厅 , 138平米 ,31人关注 , 共2次带看 , 2个月以前发布,420,单价30435元/平米,顺义,"116.675955,40.037646"
北京苏活二区 2室2厅 212万,北京苏活二区 , 2室2厅 , 66.15平米 ,14人关注 , 共6次带看 , 24天以前发布,212,单价32049元/平米,顺义,"116.638264,40.079034"
石园东区 1室1厅 255万,石园东区 , 1室1厅 , 58.98平米 ,10人关注 , 共10次带看 , 27天以前发布,255,单价43235元/平米,顺义,"116.673834,40.116557"
樱花园二区低楼层两居室 南北通透,樱花园二区 , 2室1厅 , 97.04平米 ,16人关注 , 共11次带看 , 1个月以前发布,298,单价30709元/平米,顺义,"116.632799,40.031538"
怡馨家园 3室2厅 520万,怡馨家园 , 3室2厅 , 126.35平米 ,34人关注 , 共11次带看 , 2个月以前发布,520,单价41156元/平米,顺义,"116.654682,40.125799"
裕龙五区，南北通透两居室，采光好，视野好,裕龙五区 , 2室1厅 , 98平米 ,26人关注 , 共9次带看 , 22天以前发布,353,单价36021元/平米,顺义,"116.683117,40.127185"
滨河小区1居室225万，价格可商量，业主着急卖,滨河小区 , 1室1厅 , 60.1平米 ,139人关注 , 共10次带看 , 29天以前发布,225,单价37438元/平米,顺义,"116.688628,40.123965"
石园东区 2室1厅 298万,石园东区 , 2室1厅 , 77.1平米 ,17人关注 , 共8次带看 , 20天以前发布,298,单价38652元/平米,顺义,"116.673834,40.116557"
东兴一区 2室1厅 375万,东兴一区 , 2室1厅 , 91.55平米 ,1人关注 , 共2次带看 , 14天以前发布,375,单价40962元/平米,顺义,"116.6709,40.137772"
全新装修 南北通透两居 带电梯 看房随时,顺鑫花语 , 2室2厅 , 96平米 ,40人关注 , 共16次带看 , 3个月以前发布,380,单价39584元/平米,顺义,"116.558192,40.162583"
东方太阳城 4室2厅 700万,东方太阳城 , 联排别墅 , 4室2厅 ,131人关注 , 共112次带看 , 6个月以前发布,700,单价28976元/平米,顺义,"116.722221,40.087052"
富春园 独栋别墅 毛坯房 位置安静 花园500平米,东方太阳城 , 独栋别墅 , 5室3厅 ,67人关注 , 共142次带看 , 11个月以前发布,1100,单价39070元/平米,顺义,"116.722221,40.087052"
精装婚房 2层 随时看房 业主诚心出售,双裕小区 , 2室1厅 , 72平米 ,147人关注 , 共59次带看 , 5个月以前发布,325,单价45139元/平米,顺义,"116.561056,40.112912"
欧陆苑 四合院 满五年 诚意出售 方便看房,欧陆苑 , 4室2厅 , 366平米 ,29人关注 , 共3次带看 , 2个月以前发布,2500,单价68307元/平米,顺义,"116.553879,40.071406"
马坡花园二区 精装五十万 满两年 看房方便,马坡花园二区 , 3室1厅 , 124.13平米 ,18人关注 , 共7次带看 , 2个月以前发布,418,单价33675元/平米,顺义,"116.661657,40.18394"
背靠减河 满五年三居 浇筑结构 看房方便 诚心卖,龙府花园 , 3室2厅 , 98.89平米 ,13人关注 , 共10次带看 , 1个月以前发布,365,单价36910元/平米,顺义,"116.658337,40.147875"
双裕西区 精装上叠 南北通透四居室 露台30平米,双裕花园西区 , 4室2厅 , 240平米 ,26人关注 , 共5次带看 , 3个月以前发布,880,单价36667元/平米,顺义,"116.555368,40.113521"
江山赋 2室1厅 580万,江山赋 , 2室1厅 , 97平米 ,67人关注 , 共45次带看 , 4个月以前发布,580,单价59794元/平米,顺义,"116.559953,40.117154"
东兴一区 3室2厅 460万,东兴一区 , 3室2厅 , 121.78平米 ,2人关注 , 共1次带看 , 1个月以前发布,460,单价37774元/平米,顺义,"116.6709,40.137772"
小天竺一号院 3室1厅 320万,小天竺一号院 , 3室1厅 , 110.7平米 ,29人关注 , 共0次带看 , 23天以前发布,320,单价28907元/平米,顺义,"116.593709,40.051982"
欧陆苑 5室2厅 2500万,欧陆苑 , 5室2厅 , 245平米 ,49人关注 , 共4次带看 , 4个月以前发布,2500,单价102041元/平米,顺义,"116.553879,40.071406"
丽斯花园 7室3厅 2700万,丽斯花园 , 7室3厅 , 508平米 ,22人关注 , 共7次带看 , 5个月以前发布,2700,单价53150元/平米,顺义,"116.572611,40.049516"
小天竺一号院 3室1厅 320万,小天竺一号院 , 3室1厅 , 110.7平米 ,29人关注 , 共0次带看 , 23天以前发布,320,单价28907元/平米,顺义,"116.593709,40.051982"
龙湖南区 电梯洋房 直达地库 南北2居,龙湖香醍漫步四区南区 , 2室1厅 , 105.03平米 ,13人关注 , 共0次带看 , 28天以前发布,438,单价41703元/平米,顺义,"116.671487,40.213114"
顺义新城，龙湖四区，电梯房南北通透，正规三居,龙湖香醍漫步四区北区 , 3室2厅 , 123.69平米 ,11人关注 , 共0次带看 , 26天以前发布,550,单价44467元/平米,顺义,"116.678059,40.21342"
裕祥花园主力户型 双卧朝南三居室,裕祥花园 , 3室1厅 , 108.04平米 ,15人关注 , 共0次带看 , 29天以前发布,450,单价41652元/平米,顺义,"116.554715,40.107876"
江山赋，简单装修，近地铁，诚心出售。,江山赋 , 1室1厅 , 105.48平米 ,18人关注 , 共2次带看 , 4个月以前发布,280,单价26546元/平米,顺义,"116.559953,40.117154"
南北通透 四居室 交通方便 送15平米地下室,前进花园玉兰苑 , 4室2厅 , 132.58平米 ,34人关注 , 共14次带看 , 3个月以前发布,559,单价42164元/平米,顺义,"116.644273,40.14191"
南北通透三居 前后阳台 中间楼层 2002年建成 随时签约,西辛南区 , 3室2厅 , 91.87平米 ,43人关注 , 共13次带看 , 5个月以前发布,385,单价41908元/平米,顺义,"116.649455,40.141789"
佳和宜园 3室1厅 320万,佳和宜园 , 3室1厅 , 91.7平米 ,6人关注 , 共0次带看 , 29天以前发布,320,单价34897元/平米,顺义,"116.655693,40.180093"
佳和宜园91平米三居室位置好看房方便,佳和宜园 , 3室1厅 , 91.2平米 ,16人关注 , 共0次带看 , 24天以前发布,315,单价34540元/平米,顺义,"116.655693,40.180093"
顶层三室两卫 南北通透 户型方正 带露台,樱花园一区 , 3室2厅 , 131.88平米 ,87人关注 , 共9次带看 , 2个月以前发布,300,单价22748元/平米,顺义,"116.636725,40.031531"
金宝城带电梯三居 有钥匙 随时签约,金宝城北区 , 3室1厅 , 100.61平米 ,15人关注 , 共7次带看 , 2个月以前发布,390,单价38764元/平米,顺义,"116.666703,40.182178"
此房满两年原值高 精装修 业主诚心出售 看房方便,站前东街 , 2室1厅 , 67.22平米 ,48人关注 , 共6次带看 , 2个月以前发布,270,单价40167元/平米,顺义,"116.658846,40.131708"
石园西区 正规两居 南北通透 看房方便,石园西区 , 2室1厅 , 83平米 ,12人关注 , 共8次带看 , 2个月以前发布,360,单价43374元/平米,顺义,"116.669988,40.116534"
佳和宜园 大三居 南北通透 采光充足,佳和宜园 , 3室2厅 , 139.62平米 ,37人关注 , 共9次带看 , 4个月以前发布,419.5,单价30046元/平米,顺义,"116.655693,40.180093"
东方太阳城 1室2厅 310万,东方太阳城 , 1室2厅 , 82.48平米 ,29人关注 , 共27次带看 , 2个月以前发布,310,单价37585元/平米,顺义,"116.722221,40.087052"
江山赋 3室2厅 1050万,江山赋 , 3室2厅 , 157.17平米 ,14人关注 , 共0次带看 , 1个月以前发布,1050,单价66807元/平米,顺义,"116.559953,40.117154"
两居房子  双卧室朝北 中间楼层 诚意出售,馨港庄园三区 , 2室2厅 , 89.29平米 ,35人关注 , 共2次带看 , 7个月以前发布,320,单价35839元/平米,顺义,"116.675955,40.037646"
马坡花园一区   正规四居室    南北通透,马坡花园一区 , 4室2厅 , 127.16平米 ,16人关注 , 共0次带看 , 2个月以前发布,410,单价32243元/平米,顺义,"116.661432,40.180564"
南北通透，采光充足，滨河隔断两居,滨河小区 , 2室1厅 , 59.81平米 ,73人关注 , 共4次带看 , 2个月以前发布,225,单价37620元/平米,顺义,"116.688628,40.123965"
北京方糖不限购LOFT，5.5米挑高，拎包入住！,北京方糖 , 2室2厅 , 58.67平米 ,70人关注 , 共21次带看 , 3个月以前发布,285,单价48577元/平米,顺义,"116.564402,40.108073"
精装 纯朝南3居 业主诚心出售 看房子方便,怡馨家园 , 3室2厅 , 103.48平米 ,25人关注 , 共16次带看 , 1个月以前发布,465,单价44937元/平米,顺义,"116.654682,40.125799"
吉祥花园南北通透三居室 中装 交通便利,空港吉祥花园 , 3室1厅 , 94平米 ,82人关注 , 共26次带看 , 5个月以前发布,470,单价50000元/平米,顺义,"116.560215,40.093"
空港吉祥花园全南两居室，地铁房，电梯房,空港吉祥花园 , 2室1厅 , 70.55平米 ,133人关注 , 共30次带看 , 2个月以前发布,380,单价53863元/平米,顺义,"116.560215,40.093"
东兴一区 南向一居室 中间楼层 距离15号线顺义站453米,东兴一区 , 1室1厅 , 56.33平米 ,112人关注 , 共15次带看 , 3个月以前发布,245,单价43494元/平米,顺义,"116.6709,40.137772"
双裕花园东区 南向一居 精装修 诚心出售,双裕花园东区 , 1室1厅 , 63.49平米 ,80人关注 , 共12次带看 , 1个月以前发布,310,单价48827元/平米,顺义,"116.559275,40.113935"
幸福东区 2室1厅 340万,幸福东区 , 2室1厅 , 76.57平米 ,17人关注 , 共15次带看 , 2个月以前发布,340,单价44404元/平米,顺义,"116.665892,40.140733"
西辛南区，卧龙公寓，高层电梯 正规大两居,卧龙公寓 , 2室1厅 , 96平米 ,9人关注 , 共0次带看 , 25天以前发布,370,单价38542元/平米,顺义,"116.647066,40.143241"
业主诚心出售 看房方便 配套齐全,建新南区 , 2室1厅 , 56.6平米 ,36人关注 , 共16次带看 , 1个月以前发布,260,单价45937元/平米,顺义,"116.659766,40.128078"
卫生间带窗户 业主诚心出售 正规三居室,龙庭公寓 , 3室2厅 , 169.99平米 ,42人关注 , 共10次带看 , 4个月以前发布,509,单价29943元/平米,顺义,"116.664484,40.138727"
南北通透 楼层好  15号地铁线,米兰花园 , 3室2厅 , 180平米 ,91人关注 , 共7次带看 , 4个月以前发布,750,单价41667元/平米,顺义,"116.567579,40.076173"
南北通透 楼层好  15号地铁线,米兰花园 , 3室2厅 , 180平米 ,91人关注 , 共7次带看 , 4个月以前发布,750,单价41667元/平米,顺义,"116.567579,40.076173"
万科城市花园 3室2厅 930万,万科城市花园 , 3室2厅 , 155.24平米 ,22人关注 , 共9次带看 , 2个月以前发布,930,单价59908元/平米,顺义,"116.560168,40.110054"
东兴二区 3室1厅 480万,东兴二区 , 3室1厅 , 121.17平米 ,25人关注 , 共14次带看 , 4个月以前发布,480,单价39614元/平米,顺义,"116.673001,40.138289"
南竺园南北通透三居室，满五年，看房方便,南竺园 , 3室2厅 , 124.62平米 ,16人关注 , 共7次带看 , 1个月以前发布,430,单价34505元/平米,顺义,"116.599448,40.048301"
